Insertion,Merge,Selection,Bubble,Heap,Counting,Quick,Radix,Butcher
0.1914043426513672,0.00596928596496582,0.12153148651123047,0.30019426345825195,0.005493879318237305,0.05054497718811035,0.0009894371032714844,0.0020101070404052734,0.018021821975708008
0.22060847282409668,0.005583286285400391,0.10787701606750488,0.3210299015045166,0.00596308708190918,0.0331728458404541,0.0,0.0017549991607666016,0.014528989791870117
0.1834557056427002,0.003929615020751953,0.10401487350463867,0.2693037986755371,0.005859851837158203,0.028647184371948242,0.0010027885437011719,0.0009996891021728516,0.016025781631469727
0.18855762481689453,0.003504037857055664,0.10816097259521484,0.273756742477417,0.010625839233398438,0.032113075256347656,0.0009980201721191406,0.0010099411010742188,0.01845240592956543
0.19428324699401855,0.0039577484130859375,0.1258373260498047,0.33428382873535156,0.0050699710845947266,0.03432488441467285,0.0,0.0029909610748291016,0.017714500427246094
0.21785330772399902,0.003998994827270508,0.11604833602905273,0.299511194229126,0.005830287933349609,0.03332209587097168,0.0,0.0020334720611572266,0.01787567138671875
0.23245644569396973,0.004007577896118164,0.1144111156463623,0.2714698314666748,0.006124019622802734,0.029949426651000977,0.001007080078125,0.0020041465759277344,0.018601417541503906
0.18358469009399414,0.004509449005126953,0.11870169639587402,0.3090064525604248,0.004553318023681641,0.0365138053894043,0.0,0.0035467147827148438,0.010310888290405273
0.21639561653137207,0.0038192272186279297,0.11981511116027832,0.2853400707244873,0.005669593811035156,0.030736446380615234,0.0,0.0023040771484375,0.01682448387145996
0.18759965896606445,0.006905317306518555,0.10993146896362305,0.28642845153808594,0.005019664764404297,0.03022003173828125,0.0,0.0019974708557128906,0.018633127212524414
0.18934917449951172,0.004755496978759766,0.1218254566192627,0.30452799797058105,0.006431102752685547,0.03312540054321289,0.0,0.002487659454345703,0.015555143356323242
0.19126510620117188,0.0037653446197509766,0.11837172508239746,0.29369211196899414,0.008624076843261719,0.029963970184326172,0.0010046958923339844,0.003997802734375,0.01706409454345703
0.17020583152770996,0.007805585861206055,0.10922980308532715,0.2787971496582031,0.0048253536224365234,0.02662062644958496,0.0010149478912353516,0.0020017623901367188,0.013537168502807617
0.17382431030273438,0.004002571105957031,0.10121297836303711,0.2623560428619385,0.00453495979309082,0.027146100997924805,0.001050710678100586,0.001967191696166992,0.0146331787109375
0.16792821884155273,0.003000974655151367,0.10461902618408203,0.25131988525390625,0.004521846771240234,0.02758336067199707,0.0,0.0019752979278564453,0.014588594436645508
0.19595742225646973,0.003042459487915039,0.11112070083618164,0.2612736225128174,0.0045166015625,0.03432488441467285,0.0,0.0020003318786621094,0.015081644058227539
0.19501829147338867,0.0035295486450195312,0.10803747177124023,0.28148603439331055,0.01407933235168457,0.033312082290649414,0.0,0.004718303680419922,0.01564335823059082
0.18947505950927734,0.0035200119018554688,0.11176896095275879,0.3033561706542969,0.003997087478637695,0.034227848052978516,0.0010023117065429688,0.0023920536041259766,0.017096281051635742
0.1840066909790039,0.0035381317138671875,0.1136472225189209,0.2809906005859375,0.006539821624755859,0.03374075889587402,0.0,0.002000093460083008,0.01801753044128418
0.1842193603515625,0.00518035888671875,0.11707663536071777,0.32743120193481445,0.00498652458190918,0.031842708587646484,0.0,0.005731344223022461,0.01836705207824707
0.18535685539245605,0.0035309791564941406,0.11373257637023926,0.2796294689178467,0.008529186248779297,0.030007600784301758,0.000997304916381836,0.0020024776458740234,0.018067598342895508
0.18541836738586426,0.005133152008056641,0.10708069801330566,0.2816956043243408,0.005000114440917969,0.03817892074584961,0.002001523971557617,0.002542257308959961,0.01627969741821289
0.2045748233795166,0.004002094268798828,0.12651753425598145,0.2889289855957031,0.004981040954589844,0.036980390548706055,0.0,0.002009868621826172,0.016355514526367188
0.1985030174255371,0.0048961639404296875,0.12135863304138184,0.2817661762237549,0.008550405502319336,0.031760215759277344,0.0,0.0025358200073242188,0.01993727684020996
